Year,SP,CP
2000,14.33,64.91
2001,9.51,60.33
2002,14.30,57.00
2003,10.75,42.57
2004,10.09,43.37
2005,11.64,44.71
2006,14.07,43.17
2007,18.24,45.03
2008,20.39,41.52
2009,15.27,44.42
2010,16.65,43.99
2011,19.74,42.39
2012,15.29,44.86
2013,12.50,40.87
2014,17.10,45.08
2015,14.57,44.69
2016,8.89,36.57
2017,10.57,41.35
2018,17.17,41.92
2019,12.43,42.26
2020,21.34,41.46
2021,10.40,40.40
2022,12.91,40.57
2023,18.38,38.72
2024,17.66,60.96
