Year,SP,CP
2000,29.11,72.05
2001,25.92,64.11
2002,30.35,62.93
2003,29.24,54.53
2004,28.51,51.30
2005,37.46,47.92
2006,35.10,53.31
2007,35.99,48.12
2008,31.82,42.73
2009,37.66,49.76
2010,37.72,51.02
2011,31.88,48.38
2012,34.99,48.79
2013,32.19,42.79
2014,33.34,48.25
2015,30.95,46.05
2016,24.23,40.95
2017,29.53,50.46
2018,35.37,47.95
2019,30.06,45.46
2020,32.52,46.18
2021,24.30,42.57
2022,31.14,46.19
2023,34.39,45.71
2024,32.93,59.44
