Year,SCA,CCA
2000,19.40,51.04
2001,19.00,49.37
2002,14.93,43.00
2003,12.65,36.89
2004,12.98,35.90
2005,15.40,34.53
2006,14.87,35.76
2007,15.14,37.28
2008,17.77,36.75
2009,17.61,39.25
2010,16.48,38.07
2011,16.23,36.47
2012,15.06,37.70
2013,15.25,36.95
2014,13.87,36.85
2015,13.58,35.64
2016,7.52,31.72
2017,13.29,36.04
2018,16.29,35.18
2019,14.93,36.53
2020,17.61,36.67
2021,11.24,35.17
2022,15.42,36.52
2023,19.09,37.08
2024,19.81,49.17
