Year,Elevation,SCA,CCA
2000.0,0.0,0.01,29.01
2000.0,100.0,0.03,33.96
2000.0,200.0,0.02,33.21
2000.0,300.0,0.00,33.72
2000.0,400.0,0.00,30.97
2000.0,500.0,0.01,29.88
2000.0,600.0,0.04,29.95
2000.0,700.0,0.02,29.61
2000.0,800.0,0.02,29.42
2000.0,900.0,0.05,29.51
2000.0,1000.0,0.11,29.84
2000.0,1100.0,0.31,30.37
2000.0,1200.0,0.71,31.08
2000.0,1300.0,1.54,31.76
2000.0,1400.0,3.36,32.52
2000.0,1500.0,5.86,33.38
2000.0,1600.0,9.00,34.32
2000.0,1700.0,12.79,34.79
2000.0,1800.0,16.47,35.33
2000.0,1900.0,21.68,35.41
2000.0,2000.0,27.15,35.32
2000.0,2100.0,32.59,35.25
2000.0,2200.0,37.77,35.15
2000.0,2300.0,42.84,34.92
2000.0,2400.0,47.63,34.65
2000.0,2500.0,51.66,34.32
2000.0,2600.0,55.71,34.12
2000.0,2700.0,59.47,33.83
2000.0,2800.0,62.59,33.70
2000.0,2900.0,65.85,33.48
2000.0,3000.0,69.14,33.42
2000.0,3100.0,71.82,33.31
2000.0,3200.0,74.21,33.20
2000.0,3300.0,76.60,33.13
2000.0,3400.0,78.38,33.18
2000.0,3500.0,80.66,33.10
2000.0,3600.0,83.16,33.34
2000.0,3700.0,85.69,33.43
2000.0,3800.0,87.95,33.90
2000.0,3900.0,89.38,34.15
2000.0,4000.0,90.43,34.01
2000.0,4100.0,90.40,33.90
2000.0,4200.0,90.71,33.96
2000.0,4300.0,91.66,34.30
2000.0,4400.0,92.33,34.62
2000.0,4500.0,92.55,34.54
2000.0,4600.0,94.10,34.84
2000.0,4700.0,96.04,35.24
2000.0,4800.0,97.84,33.99
2000.0,4900.0,99.19,34.51
2000.0,5000.0,98.85,33.86
2000.0,5100.0,99.46,34.69
2001.0,0.0,0.01,23.86
2001.0,100.0,0.02,26.16
2001.0,200.0,0.01,26.22
2001.0,300.0,0.01,26.91
2001.0,400.0,0.01,25.41
2001.0,500.0,0.01,24.75
2001.0,600.0,0.02,24.55
2001.0,700.0,0.02,23.94
2001.0,800.0,0.02,23.07
2001.0,900.0,0.02,22.48
2001.0,1000.0,0.04,22.15
2001.0,1100.0,0.08,22.16
2001.0,1200.0,0.17,22.29
2001.0,1300.0,0.39,22.55
2001.0,1400.0,0.76,22.98
2001.0,1500.0,1.61,23.44
2001.0,1600.0,3.46,24.05
2001.0,1700.0,6.31,24.66
