Year,SP,CP
2000,4.79,52.49
2001,3.22,40.98
2002,6.07,46.52
2003,4.25,33.82
2004,3.86,38.29
2005,6.28,32.73
2006,5.34,35.26
2007,9.45,29.83
2008,4.78,26.85
2009,4.39,32.34
2010,7.10,31.95
2011,6.65,28.01
2012,4.15,31.51
2013,4.86,26.31
2014,5.48,34.72
2015,5.02,32.85
2016,3.26,23.00
2017,6.07,35.00
2018,5.10,30.32
2019,5.22,29.09
2020,5.17,31.45
2021,3.57,24.97
2022,5.91,32.11
2023,4.54,31.24
2024,5.59,37.71
