Sen_slope,Area
n10,22.7
n09,11.97
n08,14.8
n07,17.04
n06,23.47
n05,29.16
n04,35.08
n03,25.95
n02,13.73
n01,8.17
n00,1.36
p00,40.45
p01,99.14
p02,24.54
p03,1.91
p04,0.2
p05,0.0
p06,0.0
p07,0.0
p08,0.0
p09,0.0
p10,0.0
