Year,SCA,CCA
2000,1.02,61.51
2001,1.00,68.91
2002,1.26,58.11
2003,1.31,47.17
2004,1.43,49.46
2005,1.28,41.18
2006,1.41,49.70
2007,1.41,50.77
2008,1.48,49.40
2009,1.50,52.86
2010,1.14,45.44
2011,1.36,52.39
2012,1.47,51.57
2013,1.41,46.56
2014,1.35,50.83
2015,1.38,49.20
2016,1.11,39.25
2017,1.29,51.62
2018,1.38,48.71
2019,1.29,52.90
2020,1.12,48.59
2021,1.35,49.51
2022,1.21,43.00
2023,1.30,48.54
2024,0.54,55.35
