Sen_slope,Area
n10,21.41
n09,6.25
n08,11.09
n07,16.26
n06,29.88
n05,47.55
n04,71.0
n03,76.07
n02,54.05
n01,67.29
n00,27.66
p00,372.24
p01,465.46
p02,244.98
p03,131.82
p04,51.25
p05,27.8
p06,31.84
p07,24.7
p08,23.03
p09,23.91
p10,73.0
