Year,SCA,CCA
2000,3.15,34.80
2001,3.02,39.21
2002,2.86,28.96
2003,2.91,24.47
2004,3.00,24.32
2005,3.00,23.22
2006,3.28,30.06
2007,3.05,27.02
2008,3.48,30.89
2009,3.40,33.04
2010,2.80,27.63
2011,3.31,32.08
2012,3.41,28.38
2013,2.97,25.16
2014,3.02,27.81
2015,3.04,24.36
2016,2.42,18.45
2017,2.91,28.44
2018,3.03,24.55
2019,2.74,28.01
2020,2.38,23.84
2021,2.81,27.64
2022,2.92,26.09
2023,2.81,27.24
2024,1.65,26.61
