Year,SP,CP
2000,2.52,4.33
2001,1.20,1.70
2002,5.18,2.90
2003,2.31,1.02
2004,2.49,1.55
2005,4.51,1.77
2006,1.91,0.26
2007,2.21,1.50
2008,1.36,0.57
2009,1.55,0.80
2010,1.26,0.92
2011,7.26,2.04
2012,2.64,0.86
2013,7.28,3.14
2014,1.82,0.66
2015,3.80,1.02
2016,1.45,1.56
2017,9.19,3.12
2018,4.61,1.32
2019,2.28,1.96
2020,3.08,0.86
2021,4.28,2.19
2022,1.93,0.47
2023,0.90,0.47
2024,0.86,1.02
