Year,SCA,CCA
2000,9.02,9.13
2001,9.33,7.32
2002,25.67,7.29
2003,12.85,3.91
2004,6.61,2.86
2005,12.74,4.70
2006,11.07,1.65
2007,22.06,6.91
2008,7.81,2.67
2009,7.22,3.63
2010,10.29,2.70
2011,13.66,4.78
2012,7.29,2.98
2013,17.73,2.46
2014,4.34,1.67
2015,26.02,6.17
2016,20.48,8.49
2017,16.45,4.19
2018,11.03,2.67
2019,4.00,3.38
2020,5.93,2.05
2021,13.83,2.88
2022,15.99,4.57
2023,3.00,1.35
2024,10.04,9.25
