Sen_slope,Area
n10,32.49
n09,9.24
n08,7.66
n07,9.43
n06,7.16
n05,13.65
n04,43.02
n03,41.63
n02,13.33
n01,8.93
n00,1.0
p00,2.23
p01,12.04
p02,12.51
p03,20.78
p04,65.66
p05,47.28
p06,5.36
p07,0.21
p08,0.0
p09,0.0
p10,0.0
