Year,SCA,CCA
2000,5.16,20.77
2001,2.95,20.78
2002,6.28,13.02
2003,2.83,8.48
2004,3.22,7.06
2005,4.07,12.81
2006,2.85,11.94
2007,3.63,6.01
2008,4.14,10.41
2009,3.23,10.61
2010,3.13,4.07
2011,4.02,6.41
2012,1.84,10.69
2013,1.97,7.84
2014,2.10,7.03
2015,2.99,10.16
2016,3.92,14.78
2017,3.74,9.40
2018,2.50,8.41
2019,0.53,6.13
2020,2.20,6.95
2021,0.88,2.27
2022,4.34,6.54
2023,0.72,10.68
