Elevation,Tendencia
0.0,0.0
100.0,0.0
200.0,0.0
300.0,1.1786878537118026E-4
400.0,-1.8879548224804202E-4
500.0,0.0
600.0,2.2079128131831838E-4
700.0,5.103612429670674E-4
800.0,3.4095932966440726E-4
900.0,1.2748493128112259E-4
1000.0,0.0
1100.0,-0.0014719597845743561
1200.0,-0.017495649822688975
1300.0,-0.04806204903049004
1400.0,-0.09039633989616
1500.0,-0.1495923140935653
1600.0,-0.28011745634988555
1700.0,-0.535343420768437
1800.0,-0.7195699031254402
1900.0,-0.8812153908905507
2000.0,-1.0650460769624523
2100.0,-1.0776673816514923
2200.0,-1.319533877147832
2300.0,-1.5400101151698204
2400.0,-1.823144015546104
2500.0,-2.2292476633210416
2600.0,-2.643156136745329
2700.0,-3.0934666536879423
2800.0,-3.525318813923225
2900.0,-4.114458230787119
3000.0,-4.811488820632672
3100.0,-5.467489531624205
3200.0,-5.616650240040697
3300.0,-6.07838535555034
3400.0,-6.252109507493166
3500.0,-6.742254196642686
3600.0,-6.736846273660867
3700.0,-6.885142798226621
3800.0,-7.38528635372432
3900.0,-7.714285714285714
