Sen_slope,Area
n10,7.33
n09,1.25
n08,2.31
n07,2.51
n06,4.07
n05,5.71
n04,5.84
n03,8.22
n02,44.23
n01,208.32
n00,68.99
p00,66.84
p01,784.41
p02,376.81
p03,143.86
p04,48.01
p05,3.87
p06,1.01
p07,1.39
p08,1.47
p09,1.07
p10,0.43
