Year,SP,CP
2000,10.14,19.04
2001,6.49,14.30
2002,12.46,11.58
2003,6.75,5.29
2004,4.24,5.25
2005,9.74,9.12
2006,5.75,6.47
2007,7.69,5.44
2008,8.91,7.94
2009,5.31,7.26
2010,6.13,3.66
2011,7.35,6.18
2012,4.99,6.77
2013,6.43,5.52
2014,3.34,4.12
2015,7.23,8.25
2016,8.85,12.00
2017,8.41,9.67
2018,4.53,5.56
2019,1.64,4.15
2020,3.33,4.23
2021,1.53,1.77
2022,7.95,6.58
2023,1.04,6.24
2024,6.07,19.10
