Year,SP,CP
2000,13.35,35.09
2001,10.61,27.19
2002,15.11,29.74
2003,9.05,17.26
2004,9.90,21.48
2005,12.82,19.87
2006,11.91,22.51
2007,12.05,16.48
2008,11.46,16.57
2009,10.16,21.21
2010,10.89,13.90
2011,12.31,17.38
2012,8.95,20.60
2013,10.77,14.62
2014,12.27,17.03
2015,9.53,20.82
2016,7.51,19.26
2017,11.51,16.52
2018,10.44,18.52
2019,8.94,17.27
2020,10.24,12.64
2021,7.61,15.92
2022,10.98,16.33
2023,10.07,20.21
2024,11.48,28.38
