Year,SCA,CCA
2000,4.53,23.62
2001,2.43,21.26
2002,5.05,15.39
2003,2.50,9.74
2004,2.49,8.44
2005,3.39,13.39
2006,2.63,12.95
2007,3.44,7.26
2008,3.44,10.06
2009,3.08,11.45
2010,2.57,4.38
2011,3.12,6.53
2012,1.57,11.34
2013,1.94,8.26
2014,2.03,7.65
2015,2.31,12.31
2016,3.11,15.44
2017,2.75,10.03
2018,2.01,8.87
2019,0.51,6.91
2020,1.91,7.32
2021,0.99,2.61
2022,3.25,6.35
2023,0.94,11.94
2024,3.12,20.16
