Sen_slope,Area
n10,0.71
n09,0.3
n08,0.76
n07,2.28
n06,3.39
n05,4.75
n04,6.68
n03,3.62
n02,3.94
n01,2.57
n00,0.0
p00,0.0
p01,2.2
p02,1.64
p03,1.88
p04,1.33
p05,1.52
p06,1.19
p07,0.76
p08,0.0
p09,0.0
p10,0.0
