Year,SP,CP
2000,53.99,67.60
2001,51.61,67.64
2002,51.57,59.92
2003,48.59,60.66
2004,46.55,55.52
2005,51.08,56.96
2006,50.22,58.60
2007,52.90,59.62
2008,53.41,58.62
2009,54.78,63.20
2010,53.20,61.60
2011,50.13,58.54
2012,48.78,59.33
2013,48.33,53.92
2014,50.34,59.04
2015,47.85,57.26
2016,41.78,48.14
2017,45.74,58.81
2018,52.85,58.07
2019,51.07,55.92
2020,51.66,58.39
2021,43.38,54.73
2022,52.07,57.91
2023,53.93,57.54
2024,55.45,67.21
