Year,SP,CP
2000,14.68,60.02
2001,14.87,58.50
2002,15.53,51.24
2003,13.79,48.00
2004,12.78,44.96
2005,16.26,45.54
2006,17.05,47.02
2007,16.22,47.63
2008,17.78,47.25
2009,18.62,49.93
2010,16.64,48.82
2011,15.27,47.50
2012,12.07,48.14
2013,12.07,43.41
2014,14.23,47.43
2015,11.47,46.04
2016,7.29,39.34
2017,12.50,46.64
2018,16.99,46.41
2019,15.47,45.54
2020,18.13,47.55
2021,9.78,45.23
2022,18.04,47.27
2023,19.46,46.22
2024,20.43,59.17
