Sen_slope,Area
n10,16.0
n09,8.35
n08,11.83
n07,17.47
n06,22.14
n05,23.1
n04,22.28
n03,20.2
n02,17.19
n01,11.18
n00,7.73
p00,158.06
p01,447.65
p02,160.39
p03,77.42
p04,63.46
p05,44.51
p06,26.18
p07,14.2
p08,8.78
p09,4.3
p10,8.05
