Year,SCA,CCA
2000,4.23,22.33
2001,2.46,21.94
2002,4.72,14.49
2003,2.51,9.69
2004,2.51,8.43
2005,3.42,13.34
2006,2.64,12.85
2007,3.45,7.20
2008,3.47,10.01
2009,3.08,11.42
2010,2.58,4.36
2011,3.13,6.47
2012,1.60,11.34
2013,1.95,8.19
2014,2.05,7.62
2015,2.32,12.19
2016,3.14,15.35
2017,2.77,10.01
2018,2.02,8.84
2019,0.52,6.88
2020,1.92,7.35
2021,1.01,2.59
2022,3.25,6.34
2023,0.95,11.88
2024,3.15,20.14
