Year,SCA,CCA
2000,0.24,84.94
2001,0.23,84.41
2002,0.66,78.41
2003,1.22,79.50
2004,1.09,71.23
2005,0.94,72.87
2006,0.98,75.65
2007,1.05,74.87
2008,1.43,78.47
2009,1.06,76.27
2010,0.85,72.73
2011,0.94,70.92
2012,1.06,73.34
2013,0.98,76.67
2014,1.10,78.82
2015,1.09,78.03
2016,0.85,71.21
2017,0.87,72.81
2018,1.23,77.50
2019,1.01,79.41
2020,0.80,73.02
2021,1.05,76.32
2022,0.88,69.76
2023,0.94,72.76
2024,0.14,78.48
