Year,SCA,CCA
2000,19.63,76.68
2001,15.50,70.26
2002,21.01,74.75
2003,17.64,63.76
2004,15.89,62.27
2005,26.10,62.20
2006,22.86,63.45
2007,28.11,59.56
2008,17.97,52.25
2009,23.18,61.73
2010,23.18,64.03
2011,20.94,60.28
2012,20.45,62.75
2013,18.40,54.42
2014,17.12,62.80
2015,18.33,58.53
2016,12.08,50.69
2017,17.85,66.11
2018,22.19,60.67
2019,17.77,57.48
2020,21.03,58.34
2021,13.37,49.81
2022,23.66,61.77
2023,20.70,60.97
2024,20.83,68.09
