Year,SCA,CCA
2000,36.43,68.91
2001,32.30,62.52
2002,35.07,57.96
2003,32.62,50.71
2004,29.84,47.74
2005,34.31,49.08
2006,34.22,49.45
2007,34.73,50.98
2008,37.10,48.42
2009,37.37,51.60
2010,35.01,51.15
2011,35.17,49.57
2012,35.13,48.75
2013,33.35,47.31
2014,33.97,50.97
2015,31.90,49.62
2016,25.85,39.89
2017,31.11,50.52
2018,36.08,47.40
2019,33.63,48.66
2020,36.50,49.48
2021,27.39,44.44
2022,32.77,46.82
2023,36.96,48.40
2024,39.56,64.32
