Elevation,Tendencia
0.0,0.22903845647819784
100.0,0.4137512387040599
200.0,0.37244415474351816
300.0,0.4250983873143615
400.0,0.21274069312544833
500.0,0.11117778568334605
600.0,0.0358765642030861
700.0,-0.04434118028190406
800.0,-0.22297545414428188
900.0,-0.6390588994517654
1000.0,-1.2196141171626231
1100.0,-1.7787990316272826
1200.0,-1.940692428668651
1300.0,-2.482765951871227
1400.0,-2.4123000047859167
1500.0,-2.0201174339119228
1600.0,-1.3347614433737338
1700.0,-0.9866477554237949
1800.0,-0.6116961362916379
1900.0,-0.3290593194778596
2000.0,-0.06752021026641712
2100.0,0.0
2200.0,0.0
