Year,SP,CP
2000,18.07,33.86
2001,15.24,25.63
2002,19.50,28.97
2003,14.02,16.99
2004,14.21,20.53
2005,16.75,20.47
2006,16.16,21.87
2007,15.61,17.55
2008,15.14,14.20
2009,13.33,20.06
2010,13.12,12.47
2011,14.66,15.67
2012,12.83,19.70
2013,13.08,14.57
2014,15.62,16.85
2015,12.72,20.76
2016,12.42,18.76
2017,14.52,16.75
2018,13.15,17.21
2019,9.85,17.23
2020,13.01,12.35
2021,10.54,14.50
2022,13.61,15.21
2023,13.36,21.89
2024,15.53,28.23
