Year,SP,CP
2000,8.08,6.29
2001,2.66,1.96
2002,12.90,3.32
2003,6.24,0.99
2004,4.28,2.57
2005,9.81,2.08
2006,4.13,0.61
2007,5.04,2.16
2008,3.71,0.87
2009,3.86,1.79
2010,2.56,1.34
2011,14.38,2.68
2012,7.84,1.73
2013,15.34,3.87
2014,3.40,1.31
2015,7.06,1.81
2016,3.57,1.98
2017,20.98,3.79
2018,12.16,2.20
2019,5.71,2.78
2020,6.56,1.23
2021,10.03,3.00
2022,4.84,1.11
2023,1.46,0.27
2024,1.53,1.44
