Year,SP,CP
2000,27.70,70.11
2001,25.72,61.10
2002,28.91,62.93
2003,27.99,43.45
2004,26.77,42.28
2005,28.73,43.06
2006,28.68,42.10
2007,31.01,45.54
2008,32.67,41.16
2009,29.23,43.45
2010,28.59,43.19
2011,31.91,42.96
2012,30.39,42.70
2013,27.98,36.81
2014,30.63,43.44
2015,29.61,42.80
2016,25.54,32.82
2017,27.09,41.02
2018,31.58,40.25
2019,27.39,40.49
2020,36.16,42.33
2021,27.61,37.07
2022,28.43,37.03
2023,30.91,36.81
2024,30.51,60.51
