Elevation,Tendencia
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,-0.002523434774067373
1400,-0.017294151906235164
1500,-0.05223632839107266
1600,-0.08569306986249954
1700,-0.17882720378697936
1800,-0.2873590364813453
1900,-0.49882632647038133
2000,-0.8263535226214023
2100,-1.276089188438357
2200,-1.9718994259328242
2300,-2.736074231378972
2400,-3.562600148407841
2500,-4.41782055833892
2600,-5.193543028020823
2700,-5.772475399951698
2800,-6.277442594793411
2900,-6.669312562468495
3000,-6.871848337021437
3100,-6.919947790798413
3200,-6.696907658558651
3300,-6.702031846156796
3400,-6.797557002815932
3500,-6.927634396428243
3600,-6.976547704324444
3700,-6.838622121830371
3800,-6.64547510122522
3900,-6.28318002628121
