Sen_slope,Area
n10,16.88
n09,9.5
n08,14.93
n07,25.58
n06,36.98
n05,49.83
n04,54.7
n03,61.53
n02,55.28
n01,44.32
n00,12.43
p00,9.29
p01,0.82
p02,0.0
p03,0.0
p04,0.0
p05,0.0
p06,0.0
p07,0.0
p08,0.0
p09,0.0
p10,0.0
