Sen_slope,Area
n10,0.0
n09,0.0
n08,0.0
n07,2.94
n06,8.68
n05,11.26
n04,9.7
n03,7.49
n02,5.48
n01,8.65
n00,5.43
p00,137.94
p01,115.37
p02,71.7
p03,60.96
p04,35.47
p05,13.14
p06,5.07
p07,0.59
p08,0.0
p09,0.0
p10,0.0
