Year,SCA,CCA
2000,0.99,45.08
2001,0.56,26.97
2002,0.96,31.66
2003,0.65,19.91
2004,0.51,17.55
2005,5.06,20.57
2006,2.37,20.24
2007,1.17,15.22
2008,2.86,15.99
2009,0.61,13.29
2010,4.19,16.86
2011,1.03,14.69
2012,1.22,18.85
2013,0.94,14.36
2014,1.25,15.84
2015,0.61,12.37
2016,0.65,15.27
2017,2.05,16.21
2018,1.34,14.59
2019,1.18,11.35
2020,4.40,15.98
2021,0.37,12.35
2022,1.75,17.15
2023,1.94,15.12
2024,3.76,30.66
