Sen_slope,Area
n10,13.26
n09,7.16
n08,10.29
n07,19.55
n06,26.66
n05,25.18
n04,20.19
n03,8.26
n02,8.93
n01,6.39
n00,2.17
p00,17.14
p01,23.85
p02,7.39
p03,4.8
p04,2.51
p05,0.26
p06,0.0
p07,0.0
p08,0.0
p09,0.0
p10,0.09
