Year,Snowline_elev
2000.0,1869.25
2001.0,1928.16
2002.0,1826.71
2003.0,2009.10
2004.0,1900.88
2005.0,1880.95
2006.0,1847.52
2007.0,1894.32
2008.0,2053.27
2009.0,2051.19
2010.0,2004.45
2011.0,1933.87
2012.0,2195.08
2013.0,2150.99
2014.0,1991.05
2015.0,2057.31
2016.0,2075.04
2017.0,1994.19
2018.0,2115.12
2019.0,2210.45
2020.0,2046.41
2021.0,2308.81
2022.0,1935.39
2023.0,2094.61
2024.0,1793.61
