Sen_slope,Area
n10,1.57
n09,0.84
n08,1.17
n07,3.31
n06,3.53
n05,5.17
n04,5.23
n03,4.05
n02,6.22
n01,8.57
n00,4.04
p00,40.36
p01,22.06
p02,4.9
p03,0.94
p04,0.17
p05,0.14
p06,0.0
p07,0.0
p08,0.0
p09,0.0
p10,0.0
