Year,SCA,CCA
2000,5.33,8.97
2001,1.80,7.08
2002,8.99,6.22
2003,2.29,3.17
2004,1.73,1.45
2005,4.18,4.24
2006,2.04,0.74
2007,7.14,4.66
2008,2.29,2.15
2009,2.58,3.18
2010,4.27,2.81
2011,4.06,2.45
2012,1.76,2.05
2013,6.07,2.00
2014,1.52,1.37
2015,7.17,4.96
2016,5.17,7.99
2017,8.05,3.84
2018,2.45,1.85
2019,0.57,1.77
2020,1.21,1.92
2021,2.81,1.14
2022,4.81,3.65
2023,0.37,1.05
2024,2.78,8.72
