Year,SP,CP
2000,30.00,57.49
2001,26.59,56.54
2002,26.92,49.64
2003,25.54,48.06
2004,24.32,44.14
2005,28.94,44.05
2006,27.57,47.22
2007,30.65,46.26
2008,28.33,44.38
2009,29.49,48.27
2010,30.01,47.48
2011,27.59,46.61
2012,27.46,46.51
2013,23.46,41.16
2014,25.54,46.86
2015,25.01,45.03
2016,17.61,39.18
2017,25.00,47.80
2018,28.80,45.86
2019,25.12,43.37
2020,30.16,45.75
2021,21.80,44.51
2022,30.68,45.79
2023,30.94,44.39
2024,30.96,58.08
