Year,Elevation,SP,CP
2000.0,0.0,7.636222142927386,45.586474636537524
2000.0,100.0,16.21823287428732,64.5841916742311
2000.0,200.0,24.80412865839132,70.77856901828115
2000.0,300.0,32.52102902781485,75.34146372097443
2000.0,400.0,38.355889388911706,78.29475967340161
2000.0,500.0,45.176371225954966,81.43196503498895
2000.0,600.0,50.3299008094344,82.45108078867263
2000.0,700.0,54.60262577849999,82.57097206448401
2000.0,800.0,57.08927206406976,82.72811144517428
2000.0,900.0,62.67970373865484,83.43469410233008
2000.0,1000.0,63.826409571342445,83.96702627591554
2000.0,1100.0,66.26714222113065,84.98435947388437
2000.0,1200.0,74.21478350534899,85.16161937300643
2000.0,1300.0,81.42583147705359,85.29277146335774
2000.0,1400.0,86.16729650743213,85.9346072210504
2000.0,1500.0,89.90839105093585,87.24893946447801
2000.0,1600.0,92.35440255887957,87.61172715748876
2000.0,1700.0,93.71801222902704,88.76954527732474
2000.0,1800.0,96.31992499871107,90.51620503506476
2000.0,1900.0,97.62553768792841,91.55303174416922
2000.0,2000.0,97.47295199450771,92.71659924335948
2000.0,2100.0,97.07571671380651,92.5294139082878
2000.0,2200.0,96.81208465754233,91.02765709208089
2000.0,2300.0,97.27091103930088,87.6534268119621
2000.0,2400.0,97.5465035946372,81.19425712503829
2000.0,2500.0,95.55497974182607,76.78904625339905
2000.0,2600.0,99.25842696629213,74.48456103441534
2000.0,2700.0,99.42755727654084,72.26411063996107
2001.0,0.0,6.647782451594857,39.04381332988391
2001.0,100.0,12.377424925674017,55.88519265653531
2001.0,200.0,18.34379117325096,62.52286345263027
2001.0,300.0,24.732955912018447,67.19438824350304
2001.0,400.0,30.123669825469808,70.29165976072737
2001.0,500.0,36.81359235408643,74.70950215456867
2001.0,600.0,43.48702912776806,76.00580052067002
2001.0,700.0,49.247062998621196,76.35715358527739
2001.0,800.0,53.0822083401278,76.34361579510109
2001.0,900.0,60.04377781289873,77.4110779279082
2001.0,1000.0,61.875283531475915,78.23759328722497
2001.0,1100.0,63.62653201137517,79.78771154026343
2001.0,1200.0,72.1495563838908,81.46308274215065
2001.0,1300.0,79.95133538125683,83.16902303179405
2001.0,1400.0,84.68257350460208,84.46309828265255
2001.0,1500.0,87.36217722030273,86.10610023090562
2001.0,1600.0,90.78215497093609,87.11444788076187
2001.0,1700.0,92.46294409574485,88.03984965112858
2001.0,1800.0,96.33970679217533,90.10164214815079
2001.0,1900.0,96.73948741906885,91.56997246744278
2001.0,2000.0,92.94157264124559,92.55839961609608
2001.0,2100.0,92.70985049307804,92.67969933229311
2001.0,2200.0,92.65981718536301,90.86255489159879
2001.0,2300.0,95.9138055640934,87.6480504138344
2001.0,2400.0,96.74464042833395,80.52831139396852
2001.0,2500.0,95.95062659003109,70.32285222637017
2001.0,2600.0,97.9398545935228,74.07713289153783
2001.0,2700.0,98.46918360761536,71.54529817878256
2002.0,0.0,7.84977327893852,35.12182527381094
2002.0,100.0,14.341266920376137,51.68781330887918
2002.0,200.0,20.80081542459869,57.3374760719022
2002.0,300.0,27.550053607430645,62.379884779718424
2002.0,400.0,34.09542699644506,65.72704693675912
2002.0,500.0,42.7628795376827,69.85983941870205
2002.0,600.0,50.12404847864703,71.07499670795728
2002.0,700.0,55.17846418509553,71.36373785465557
2002.0,800.0,57.91042449460707,71.43270590736583
2002.0,900.0,62.9931165255457,72.66140872661786
