Year,SCA,CCA
2000,0.06,79.43
2001,0.05,74.49
2002,0.11,70.03
2003,0.17,71.16
2004,0.18,68.87
2005,0.16,69.00
2006,0.18,69.42
2007,0.20,73.26
2008,0.24,77.85
2009,0.19,70.50
2010,0.18,76.48
2011,0.20,70.67
2012,0.17,71.65
2013,0.16,72.92
2014,0.18,73.05
2015,0.16,68.53
2016,0.17,67.32
2017,0.18,71.05
2018,0.16,68.40
2019,0.20,71.70
2020,0.17,70.79
2021,0.20,77.99
2022,0.21,75.10
2023,0.16,65.62
2024,0.03,68.36
