Sen_slope,Area
n10,11.18
n09,4.81
n08,8.14
n07,9.12
n06,14.53
n05,16.95
n04,24.39
n03,24.29
n02,22.21
n01,20.71
n00,5.27
p00,5.6
p01,0.72
p02,0.0
p03,0.21
p04,0.0
p05,0.0
p06,0.0
p07,0.0
p08,0.0
p09,0.0
p10,0.0
