Year,SCA,CCA
2000,2.20,60.20
2001,1.44,50.56
2002,2.24,52.53
2003,2.16,37.27
2004,1.88,41.11
2005,2.85,37.78
2006,2.52,36.98
2007,3.64,34.92
2008,2.04,30.31
2009,2.04,35.64
2010,2.80,37.00
2011,2.78,33.41
2012,2.01,37.53
2013,2.14,32.63
2014,2.37,39.72
2015,2.07,36.29
2016,1.68,29.01
2017,2.85,37.62
2018,2.19,33.98
2019,2.26,34.57
2020,2.49,35.04
2021,1.80,28.47
2022,2.63,34.15
2023,2.74,35.97
