Year,SCA,CCA
2000,18.46,27.73
2001,16.59,24.73
2002,17.85,17.98
2003,12.92,9.90
2004,11.52,16.46
2005,19.20,16.25
2006,15.23,11.89
2007,15.32,14.54
2008,16.48,12.49
2009,13.69,10.19
2010,8.30,9.74
2011,10.46,9.08
2012,12.84,10.28
2013,12.70,9.93
2014,11.04,10.09
2015,13.34,15.74
2016,15.75,19.35
2017,10.98,11.77
2018,11.40,10.48
2019,7.58,9.56
2020,9.04,8.80
2021,8.02,8.18
2022,9.36,10.06
2023,12.31,13.30
2024,11.43,22.61
