Sen_slope,Area
n10,487.97
n09,174.26
n08,226.06
n07,301.17
n06,413.23
n05,519.29
n04,589.3
n03,468.02
n02,510.93
n01,846.83
n00,179.32
p00,99.83
p01,476.71
p02,317.56
p03,183.38
p04,99.27
p05,51.79
p06,32.45
p07,21.3
p08,13.86
p09,11.6
p10,13.14
