Sen_slope,Area
n10,9.94
n09,2.63
n08,3.74
n07,5.46
n06,6.79
n05,6.6
n04,6.59
n03,6.15
n02,4.04
n01,4.83
n00,1.25
p00,97.07
p01,116.12
p02,93.71
p03,79.58
p04,41.1
p05,22.44
p06,7.79
p07,3.29
p08,0.12
p09,0.0
p10,0.0
