Year,Elevation,SP,CP
2000.0,0.0,1.0659532497466653,24.135498336751862
2000.0,100.0,2.240479039212588,51.76216905923358
2000.0,200.0,2.994401381786623,59.81661822991382
2000.0,300.0,3.506246032343795,65.36123421253527
2000.0,400.0,3.7872817637313623,69.20808077725992
2000.0,500.0,3.874648311897106,71.46043968796684
2000.0,600.0,4.046446088393897,73.13645442009648
2000.0,700.0,4.662488634887648,74.5197382502577
2000.0,800.0,6.774442082890542,75.87915912050418
2000.0,900.0,9.0,78.07320668195221
2000.0,1000.0,9.764,80.6788732394367
2000.0,1100.0,15.512396694214877,81.32638808054936
2000.0,1200.0,16.076923076923077,83.22047670639223
2001.0,0.0,0.4658139756369193,23.458798930346486
2001.0,100.0,0.8418515926586451,50.73480752890476
2001.0,200.0,1.022547626543236,58.673477415874565
2001.0,300.0,1.1704774099140296,64.07520489613574
2001.0,400.0,1.2931948515356186,67.7621505279142
2001.0,500.0,1.4865521168274383,69.99109325156613
2001.0,600.0,1.8182803566105736,71.7530103876354
2001.0,700.0,2.517339914274581,73.008891018523
2001.0,800.0,4.176142401700319,74.57736582318665
2001.0,900.0,5.4186046511627906,76.70357218252984
2001.0,1000.0,4.928,80.08165680473375
2001.0,1100.0,7.619834710743802,81.14822240696364
2001.0,1200.0,12.653846153846153,81.70232134729173
2002.0,0.0,1.3590909218663316,18.67709556447283
2002.0,100.0,2.791786125471251,44.851772797069906
2002.0,200.0,3.7402087995303286,54.120956735769454
2002.0,300.0,4.6228386360946425,60.87992697928475
2002.0,400.0,5.233273862622658,65.6522278666971
2002.0,500.0,5.625234458735263,68.44922684278218
2002.0,600.0,5.9541500691000735,70.67486592579172
2002.0,700.0,6.484348616703468,72.59776268698734
2002.0,800.0,7.908873538788523,74.59118610249608
2002.0,900.0,10.162790697674419,76.98047325242399
2002.0,1000.0,10.2,80.68688046647218
2002.0,1100.0,12.71900826446281,82.20128665397675
2002.0,1200.0,15.076923076923077,83.14644539134336
2003.0,0.0,1.7901463088664749,13.197115081140037
2003.0,100.0,3.5177269341038895,36.42269753881089
2003.0,200.0,4.394055935130904,46.24141147559412
2003.0,300.0,4.960565532230818,53.89074318447383
2003.0,400.0,5.130852555116605,59.75914013033436
2003.0,500.0,5.209153938906752,63.4051758945226
2003.0,600.0,5.21589030702111,66.21390620876153
2003.0,700.0,5.336147551630082,68.52747287941654
2003.0,800.0,6.42375132837407,70.5878328213935
2003.0,900.0,9.024418604651164,74.27970691302971
2003.0,1000.0,12.256,77.24493150684937
2003.0,1100.0,15.15702479338843,78.9403373712215
2003.0,1200.0,17.576923076923077,79.90516332982087
2004.0,0.0,1.56500104344116,12.188315342731013
2004.0,100.0,2.839876289590717,34.01297020077197
2004.0,200.0,3.5703358320074194,43.18886858153378
2004.0,300.0,4.035743875014795,50.196227186325864
2004.0,400.0,4.369274882120556,55.569038600948105
2004.0,500.0,4.762510048231511,58.862686615243746
2004.0,600.0,5.216215483836002,61.35571929896274
2004.0,700.0,6.019288219249253,63.36593993826484
2004.0,800.0,7.523113708820404,65.29561041329146
2004.0,900.0,9.156976744186046,67.98735544541861
2004.0,1000.0,9.212,71.35737704918027
2004.0,1100.0,10.082644628099173,73.37081696247128
2004.0,1200.0,11.307692307692308,73.8755779739386
2005.0,0.0,2.3123283935579,11.401920571792173
2005.0,100.0,4.547401629907217,31.866326641372854
2005.0,200.0,5.910047732899965,40.85690072179221
2005.0,300.0,7.0928350853785815,47.86294206525494
2005.0,400.0,8.080158022174079,53.30472338263817
2005.0,500.0,8.95243837084673,56.80083120439282
2005.0,600.0,9.85507953282931,59.492197055665265
2005.0,700.0,10.830042862709442,62.04668103133856
2005.0,800.0,12.290116896918173,64.3706054474252
2005.0,900.0,14.159302325581395,67.30646702771577
2005.0,1000.0,18.852,68.77589041095892
2005.0,1100.0,26.33884297520661,69.52111400430202
2005.0,1200.0,30.307692307692307,70.05268703898844
2006.0,0.0,1.9602634752354733,12.817067502592497
2006.0,100.0,3.670835496760503,35.98247631723675
