Sen_slope,Area
n10,18.2
n09,8.77
n08,8.04
n07,15.67
n06,20.84
n05,31.88
n04,47.16
n03,47.85
n02,48.13
n01,58.02
n00,27.7
p00,55.34
p01,68.75
p02,71.06
p03,54.15
p04,32.92
p05,19.2
p06,12.74
p07,5.51
p08,5.04
p09,1.82
p10,5.88
