Year,SP,CP
2000,22.22,65.41
2001,20.39,65.01
2002,22.16,61.15
2003,23.07,57.65
2004,20.90,53.49
2005,25.20,52.31
2006,24.89,57.39
2007,27.27,55.29
2008,22.28,50.28
2009,26.89,58.30
2010,26.40,56.42
2011,23.19,54.90
2012,24.21,55.41
2013,21.20,50.25
2014,23.88,56.86
2015,22.51,54.85
2016,18.00,46.92
2017,22.11,56.63
2018,25.82,54.32
2019,23.03,52.82
2020,24.95,53.24
2021,18.75,52.37
2022,26.22,53.03
2023,26.45,53.49
2024,26.74,64.83
