Year,SCA,CCA
2000,20.88,65.84
2001,16.62,56.39
2002,20.80,56.09
2003,18.35,47.69
2004,18.22,44.63
2005,27.02,42.67
2006,23.67,46.85
2007,24.56,41.87
2008,21.51,36.41
2009,24.18,43.96
2010,26.86,43.62
2011,20.53,41.63
2012,23.02,43.69
2013,20.68,38.02
2014,20.82,42.22
2015,19.03,40.81
2016,14.16,36.04
2017,19.94,44.16
2018,23.70,42.39
2019,19.60,39.05
2020,22.32,40.31
2021,14.25,36.22
2022,21.45,41.55
2023,22.97,40.63
2024,21.87,54.33
