Sen_slope,Area
n10,3.24
n09,4.99
n08,5.42
n07,9.78
n06,11.83
n05,15.17
n04,15.72
n03,12.79
n02,9.71
n01,9.29
n00,2.17
p00,27.99
p01,3.62
p02,1.12
p03,0.14
p04,0.0
p05,0.0
p06,0.0
p07,0.0
p08,0.0
p09,0.0
p10,0.0
