Year,SP,CP
2000,7.21,7.55
2001,5.12,5.78
2002,30.12,6.48
2003,11.85,3.46
2004,5.37,2.45
2005,13.63,3.67
2006,13.46,1.53
2007,17.77,5.66
2008,6.15,1.53
2009,8.53,3.01
2010,7.83,1.69
2011,15.37,3.53
2012,5.30,1.86
2013,16.14,2.14
2014,4.01,1.14
2015,24.63,3.98
2016,13.55,7.44
2017,19.01,3.11
2018,12.55,2.04
2019,3.32,2.64
2020,2.69,1.25
2021,12.93,2.74
2022,15.26,3.74
2023,2.00,0.79
2024,4.87,4.91
