Year,SP,CP
2000,1.71,51.03
2001,1.08,38.46
2002,1.98,41.14
2003,1.40,28.04
2004,1.25,33.39
2005,1.93,26.93
2006,1.62,30.39
2007,3.14,24.64
2008,1.46,23.00
2009,1.39,27.70
2010,2.28,26.14
2011,2.21,22.27
2012,1.39,29.86
2013,1.50,22.51
2014,1.74,27.25
2015,1.70,27.89
2016,0.98,18.29
2017,1.97,29.00
2018,1.52,27.02
2019,1.65,23.75
2020,1.66,24.50
2021,1.11,22.12
2022,1.73,27.50
2023,1.43,25.60
2024,1.73,36.02
