Year,SCA,CCA
2000,17.76,70.13
2001,12.25,57.39
2002,17.82,66.44
2003,15.43,55.33
2004,13.97,53.93
2005,19.10,55.20
2006,18.44,52.79
2007,23.00,49.64
2008,14.80,43.06
2009,14.62,49.70
2010,19.36,52.38
2011,17.60,49.20
2012,16.30,53.63
2013,14.64,46.70
2014,15.43,51.43
2015,13.94,48.10
2016,11.28,41.13
2017,16.13,52.79
2018,17.08,49.21
2019,15.65,48.05
2020,15.22,48.82
2021,13.37,38.09
2022,20.85,52.07
2023,15.88,50.80
2024,17.17,58.06
