Year,SP,CP
2000,1.99,39.45
2001,0.78,38.56
2002,2.58,34.62
2003,2.90,28.88
2004,2.50,26.84
2005,4.16,25.49
2006,3.40,28.65
2007,4.01,25.64
2008,2.73,23.25
2009,3.36,26.72
2010,3.91,27.86
2011,3.23,25.98
2012,3.48,26.86
2013,2.43,23.56
2014,3.34,27.61
2015,3.96,26.31
2016,2.35,22.82
2017,3.67,28.34
2018,3.48,26.00
2019,3.46,23.81
2020,3.60,23.86
2021,2.76,24.21
2022,4.89,26.06
2023,4.83,25.91
2024,3.89,38.55
