Year,SP,CP
2000,21.38,74.14
2001,16.57,65.72
2002,22.31,72.55
2003,19.24,61.36
2004,17.21,58.84
2005,26.43,59.23
2006,23.43,58.79
2007,28.53,55.94
2008,18.54,49.23
2009,21.77,58.08
2010,23.89,60.95
2011,22.09,56.84
2012,20.24,59.32
2013,18.44,51.80
2014,19.69,59.64
2015,18.89,55.16
2016,13.28,49.10
2017,20.42,61.78
2018,22.43,56.41
2019,19.34,54.53
2020,22.44,56.50
2021,14.67,45.51
2022,26.79,58.32
2023,21.81,57.99
2024,24.50,63.68
