Sen_slope,Area
n10,6.43
n09,6.73
n08,6.66
n07,7.15
n06,9.69
n05,8.3
n04,7.42
n03,5.4
n02,3.81
n01,3.56
n00,0.27
p00,1.24
p01,0.2
p02,0.0
p03,0.0
p04,0.0
p05,0.0
p06,0.0
p07,0.0
p08,0.0
p09,0.0
p10,0.0
