Year,SP,CP
2000,21.66,66.02
2001,16.38,63.28
2002,22.85,57.85
2003,18.75,49.67
2004,17.03,48.96
2005,19.20,49.65
2006,21.43,48.98
2007,23.67,52.33
2008,26.08,50.17
2009,25.37,52.05
2010,24.43,50.02
2011,25.26,49.87
2012,21.56,51.66
2013,19.92,50.56
2014,23.59,51.58
2015,20.60,50.94
2016,15.02,41.73
2017,17.38,49.18
2018,24.53,49.22
2019,20.47,49.32
2020,24.98,49.38
2021,15.12,46.71
2022,19.18,48.01
2023,25.43,49.50
2024,26.01,63.32
