Year,SCA,CCA
2000,3.87,61.08
2001,2.46,51.96
2002,4.18,56.88
2003,3.85,44.04
2004,3.19,42.41
2005,4.68,41.40
2006,4.34,41.16
2007,5.58,38.60
2008,3.52,32.32
2009,3.93,40.89
2010,4.68,40.66
2011,4.30,38.21
2012,4.22,43.08
2013,3.69,36.91
2014,3.95,42.32
2015,3.58,38.29
2016,2.99,30.66
2017,4.92,41.93
2018,4.23,37.12
2019,4.31,38.23
2020,4.20,38.21
2021,3.42,30.46
2022,5.52,40.56
2023,4.79,39.95
