Year,SP,CP
2000,3.85,39.17
2001,2.74,28.50
2002,4.61,33.81
2003,2.75,18.10
2004,2.76,25.13
2005,5.10,20.36
2006,5.26,22.89
2007,6.81,16.37
2008,4.46,17.67
2009,3.86,21.59
2010,5.94,15.50
2011,6.30,18.09
2012,3.60,21.17
2013,4.67,17.17
2014,5.76,17.61
2015,3.97,22.66
2016,2.35,17.31
2017,5.44,17.32
2018,3.85,19.17
2019,4.00,20.24
2020,4.47,14.15
2021,3.18,16.64
2022,4.96,18.32
2023,3.68,20.25
2024,5.59,26.53
