Year,SP,CP
2000,13.55,20.27
2001,8.93,16.99
2002,15.24,11.78
2003,9.23,6.35
2004,7.77,5.70
2005,12.45,10.35
2006,8.67,10.16
2007,9.57,6.44
2008,11.01,8.81
2009,9.05,9.10
2010,8.41,4.11
2011,9.51,6.47
2012,7.43,8.76
2013,8.52,7.02
2014,6.26,5.76
2015,8.81,9.04
2016,11.33,13.59
2017,9.52,8.59
2018,7.45,6.03
2019,2.72,5.69
2020,5.87,5.12
2021,3.66,2.45
2022,10.19,5.78
2023,4.00,9.85
2024,8.85,17.98
