Year,SP,CP
2000,26.99,67.65
2001,22.27,66.40
2002,26.01,61.71
2003,22.54,57.79
2004,21.00,53.39
2005,34.38,52.12
2006,32.91,54.94
2007,36.18,56.60
2008,27.21,52.11
2009,40.24,56.24
2010,35.30,56.65
2011,29.42,55.96
2012,33.29,54.14
2013,26.57,47.61
2014,31.41,55.26
2015,28.69,52.79
2016,18.25,45.27
2017,23.25,56.14
2018,34.18,53.89
2019,28.07,52.68
2020,30.15,54.52
2021,18.79,51.20
2022,27.41,54.56
2023,33.89,53.55
2024,35.31,65.64
