Year,Snowline_elev
2000.0,259.28232373818753
2001.0,255.3242292225201
2002.0,257.7254641909814
2003.0,258.8332752005581
2004.0,263.6067880066825
2005.0,255.33142656430329
2006.0,260.48441054462734
2007.0,255.27303434040158
2008.0,262.9715310891837
2009.0,262.9780884316343
2010.0,255.12835964806555
2011.0,258.297153883261
2012.0,259.2917139614075
2013.0,264.3696235315882
2014.0,257.2771301920867
2015.0,253.82981670437232
2016.0,251.63410381365404
2017.0,260.6229252099199
2018.0,256.8705547652916
2019.0,260.22287499417166
2020.0,268.9273935058299
2021.0,249.92593257619967
2022.0,244.4206811741432
2023.0,255.0824788230049
2024.0,255.78167952469627
