Year,SP,CP
2000,8.98,41.54
2001,5.67,31.04
2002,11.30,36.46
2003,5.50,21.51
2004,5.83,29.13
2005,10.27,23.13
2006,8.21,27.43
2007,11.32,20.60
2008,7.59,20.00
2009,6.61,23.03
2010,10.10,19.90
2011,10.85,19.63
2012,5.55,23.51
2013,7.89,17.54
2014,9.29,21.55
2015,7.50,24.02
2016,4.02,16.25
2017,10.21,21.50
2018,7.64,22.99
2019,8.34,21.85
2020,7.82,18.24
2021,5.93,17.83
2022,9.75,23.34
2023,6.81,23.29
2024,9.09,28.60
